delta,theta,alpha,beta,abr,tbr,dbr,tar,dar,dtabr,label
43.61488145,54.73963437,62.67376424,162.8840175,0.384775408,0.336065105,0.267766489,0.873405883,0.695903333,2.293313935,0
43.64835055,55.39621079,63.68873496,167.8417556,0.379457035,0.330050234,0.260056566,0.869796061,0.685338633,2.337639618,0
43.5463879,54.87752741,66.87969339,168.3728221,0.397211929,0.325928655,0.258630742,0.820540954,0.651115244,2.390196679,0
42.92606708,53.65354077,61.04187123,169.7689412,0.359558532,0.316038613,0.252849943,0.87896291,0.703223316,2.389850379,0
42.24203478,55.416011,60.50497293,163.0878945,0.370996101,0.339792301,0.25901392,0.91589184,0.698158064,2.28954886,0
43.81041411,54.06867948,60.13542396,160.4548241,0.374781028,0.336971355,0.273038934,0.899115295,0.72852923,2.253701377,0
44.26899596,51.301104,57.33574932,157.5349081,0.363955837,0.325649119,0.281010707,0.894748994,0.772101115,2.248304203,0
42.68797917,54.30065133,54.04787727,155.3709664,0.34786343,0.349490336,0.274748752,1.004676855,0.789817868,2.159210236,0
37.53657332,46.5224727,54.02650869,156.1868541,0.345909449,0.297864202,0.240331195,0.861104555,0.694780659,2.500782161,0
260.3847628,121.8061593,61.24265397,190.6531042,0.32122558,0.638888938,1.365751499,1.988910528,4.251689728,0.659083572,0
272.9671404,134.2904271,63.61649486,198.3902546,0.320663407,0.676900321,1.375910026,2.110937225,4.290823332,0.643344091,0
276.3151623,132.9882968,64.38905526,201.3086439,0.319852412,0.66061891,1.372594624,2.065386676,4.29133742,0.64914599,0
275.9647428,133.5444752,64.8935885,202.561611,0.320364694,0.659278303,1.362374348,2.057899375,4.252573315,0.653111549,0
277.2717292,133.494859,66.66017098,202.5193287,0.329154612,0.659170954,1.369112425,2.002618011,4.159481219,0.655310114,0
277.0142014,135.5042104,70.51380492,210.9961627,0.334194727,0.642211728,1.31288739,1.921669246,3.928510194,0.682417947,0
276.8757793,138.2442001,70.87440513,221.183707,0.320432305,0.625019817,1.251791025,1.950551823,3.906569357,0.703551086,0
277.2407954,139.4616534,73.01407731,224.5574934,0.325146475,0.621050989,1.234609414,1.910065272,3.797086885,0.714110444,0
277.7130978,139.9628864,73.9833971,232.4796662,0.318235992,0.602043562,1.19456941,1.891814811,3.753721898,0.733733983,0
277.6747543,144.0508178,76.86943981,235.507103,0.326399666,0.611662306,1.179050444,1.873967317,3.612290593,0.740710461,0
280.5339712,143.4598684,84.98801096,241.5175371,0.351891676,0.593993588,1.161547002,1.688001246,3.30086524,0.770071443,0
278.999682,150.8169092,86.33207512,244.4195514,0.35321264,0.617041102,1.141478579,1.746939466,3.231703647,0.769518053,0
278.6061941,153.3052448,84.79381917,249.5907365,0.339731435,0.614226501,1.116252142,1.807976647,3.285689887,0.774197035,0
